Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2016","2016","°C","1.661","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2017","2017","°C","1.773","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2018","2018","°C","0.651","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2019","2019","°C","1.19","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2020","2020","°C","1.596","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2010","2010","°C","1.304","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2011","2011","°C","1.036","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2012","2012","°C","1.502","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2013","2013","°C","0.944","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2014","2014","°C","1.806","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2015","2015","°C","2.29","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2016","2016","°C","1.076","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2017","2017","°C","1.925","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2018","2018","°C","1.587","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2019","2019","°C","1.994","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7009","September","2020","2020","°C","2.234","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2010","2010","°C","1.01","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2011","2011","°C","0.648","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2012","2012","°C","1.662","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2013","2013","°C","0.771","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2014","2014","°C","1.612","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2015","2015","°C","2.251","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2016","2016","°C","1.306","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2017","2017","°C","1.816","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2018","2018","°C","1.647","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2019","2019","°C","1.738","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7010","October","2020","2020","°C","2.02","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2010","2010","°C","0.656","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2011","2011","°C","0.306","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2012","2012","°C","1.105","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2013","2013","°C","0.726","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2014","2014","°C","1.185","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2015","2015","°C","2.017","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2016","2016","°C","1.207","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2017","2017","°C","1.056","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2018","2018","°C","1.159","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2019","2019","°C","1.697","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7011","November","2020","2020","°C","1.303","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2010","2010","°C","0.859","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2011","2011","°C","0.745","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2012","2012","°C","1.426","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2013","2013","°C","1.041","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2014","2014","°C","1.07","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2015","2015","°C","1.903","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2016","2016","°C","1.263","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2017","2017","°C","1.193","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2018","2018","°C","1.055","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2019","2019","°C","1.432","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7012","December","2020","2020","°C","1.197","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2010","2010","°C","1.129","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2011","2011","°C","0.674","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2012","2012","°C","0.531","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2013","2013","°C","1.003","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2014","2014","°C","0.938","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2015","2015","°C","1.159","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2016","2016","°C","1.694","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2017","2017","°C","1.127","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2018","2018","°C","0.938","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2019","2019","°C","1.291","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7016","Dec–Jan–Feb","2020","2020","°C","1.266","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2010","2010","°C","1.252","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2011","2011","°C","0.647","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2012","2012","°C","0.935","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2013","2013","°C","0.93","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2014","2014","°C","0.934","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2015","2015","°C","1.156","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2016","2016","°C","1.637","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2017","2017","°C","1.336","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2018","2018","°C","1.32","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2019","2019","°C","1.588","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7017","Mar–Apr–May","2020","2020","°C","1.134","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2010","2010","°C","1.025","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2011","2011","°C","1.142","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2012","2012","°C","1.135","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2013","2013","°C","0.936","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2014","2014","°C","1.221","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2015","2015","°C","1.846","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2016","2016","°C","1.381","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2017","2017","°C","1.44","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2018","2018","°C","0.95","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2019","2019","°C","1.498","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7018","Jun–Jul–Aug","2020","2020","°C","1.681","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2010","2010","°C","0.99","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2011","2011","°C","0.663","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2012","2012","°C","1.423","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2013","2013","°C","0.814","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2014","2014","°C","1.534","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2015","2015","°C","2.186","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2016","2016","°C","1.196","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2017","2017","°C","1.599","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2018","2018","°C","1.464","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2019","2019","°C","1.81","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7019","Sep–Oct–Nov","2020","2020","°C","1.852","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.099","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.782","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.006","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.921","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2014","2014","°C","1.157","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.587","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.477","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.375","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.168","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.547","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.483","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2010","2010","°C","1.837","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2011","2011","°C","-1.985","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2012","2012","°C","-0.736","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2013","2013","°C","0.508","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2014","2014","°C","2.3","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2015","2015","°C","2.592","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2016","2016","°C","0.533","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2017","2017","°C","2.519","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2018","2018","°C","0.657","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2019","2019","°C","2.001","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7001","January","2020","2020","°C","2.554","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2010","2010","°C","1.415","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2011","2011","°C","2.284","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2012","2012","°C","0.114","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2013","2013","°C","1.654","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2014","2014","°C","0.536","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2015","2015","°C","2.749","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2016","2016","°C","1.496","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2017","2017","°C","3.112","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2018","2018","°C","1.047","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2019","2019","°C","1.795","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7002","February","2020","2020","°C","3.205","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2010","2010","°C","0.343","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2011","2011","°C","-0.661","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2012","2012","°C","0.388","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2013","2013","°C","2.536","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2014","2014","°C","2.06","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2015","2015","°C","2.431","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2016","2016","°C","2.654","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2017","2017","°C","0.26","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2018","2018","°C","3.587","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2019","2019","°C","2.335","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7003","March","2020","2020","°C","2.795","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2010","2010","°C","-0.89","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2011","2011","°C","1.354","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2012","2012","°C","1.721","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2013","2013","°C","0.531","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2014","2014","°C","1.81","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2015","2015","°C","1.32","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2016","2016","°C","2.177","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2017","2017","°C","1.821","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2018","2018","°C","2.09","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2019","2019","°C","2.486","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7004","April","2020","2020","°C","1.07","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2010","2010","°C","0.857","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2011","2011","°C","0.701","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2012","2012","°C","1.591","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2013","2013","°C","1.45","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2014","2014","°C","0.74","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2015","2015","°C","1.208","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2016","2016","°C","0.82","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2017","2017","°C","1.617","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2018","2018","°C","1.581","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2019","2019","°C","0.772","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7005","May","2020","2020","°C","1.827","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7006","June","2010","2010","°C","1.185","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7006","June","2011","2011","°C","1.27","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7006","June","2012","2012","°C","1.042","Fc","Calculated data"
"ET","Temperature change","351","China","7271","Temperature change","7006","June","2013","2013","°C","1.303","Fc","Calculated data"
