Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2017","2017","1000 US$","4295642","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2018","2018","1000 US$","1901034","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2019","2019","1000 US$","1912898","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2020","2020","1000 US$","1675713","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2010","2010","1000 US$","64772","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2011","2011","1000 US$","106442","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2012","2012","1000 US$","82147","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2013","2013","1000 US$","91449","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2014","2014","1000 US$","63986","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2015","2015","1000 US$","35238","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2016","2016","1000 US$","95341","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2017","2017","1000 US$","78695","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2018","2018","1000 US$","69540","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2019","2019","1000 US$","90743","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","44","Barley","2020","2020","1000 US$","89410","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2010","2010","1000 US$","9144","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2011","2011","1000 US$","13435","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2012","2012","1000 US$","5825","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2013","2013","1000 US$","5927","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2014","2014","1000 US$","4309","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2015","2015","1000 US$","1307","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2016","2016","1000 US$","854","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2017","2017","1000 US$","867","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2018","2018","1000 US$","668","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2019","2019","1000 US$","544","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","782","Bastfibres, other","2020","2020","1000 US$","714","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2010","2010","1000 US$","3089952","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2011","2011","1000 US$","3475823","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2012","2012","1000 US$","3701482","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2013","2013","1000 US$","3727376","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2014","2014","1000 US$","3261220","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2015","2015","1000 US$","2354441","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2016","2016","1000 US$","3228439","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2017","2017","1000 US$","3314256","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2018","2018","1000 US$","1529611","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2019","2019","1000 US$","1894903","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","176","Beans, dry","2020","2020","1000 US$","2090417","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2010","2010","1000 US$","53584","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2011","2011","1000 US$","69619","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2012","2012","1000 US$","51235","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2013","2013","1000 US$","45847","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2014","2014","1000 US$","38145","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2015","2015","1000 US$","20737","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2016","2016","1000 US$","19090","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2017","2017","1000 US$","13850","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2018","2018","1000 US$","35828","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2019","2019","1000 US$","34431","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","216","Brazil nuts, with shell","2020","2020","1000 US$","19117","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2010","2010","1000 US$","6471","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2011","2011","1000 US$","15192","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2012","2012","1000 US$","5999","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2013","2013","1000 US$","9230","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2014","2014","1000 US$","6844","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2015","2015","1000 US$","2778","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2016","2016","1000 US$","4052","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2017","2017","1000 US$","11500","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2018","2018","1000 US$","15384","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2019","2019","1000 US$","14752","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","181","Broad beans, horse beans, dry","2020","2020","1000 US$","18786","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2010","2010","1000 US$","91697","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2011","2011","1000 US$","252288","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2012","2012","1000 US$","70461","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2013","2013","1000 US$","86898","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2014","2014","1000 US$","72520","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2015","2015","1000 US$","34906","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2016","2016","1000 US$","28270","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2017","2017","1000 US$","52438","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2018","2018","1000 US$","105014","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2019","2019","1000 US$","97830","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","217","Cashew nuts, with shell","2020","2020","1000 US$","87606","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2010","2010","1000 US$","738326","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2011","2011","1000 US$","936796","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2012","2012","1000 US$","739661","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2013","2013","1000 US$","670607","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2014","2014","1000 US$","550292","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2015","2015","1000 US$","252066","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2016","2016","1000 US$","259515","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2017","2017","1000 US$","229778","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2018","2018","1000 US$","155381","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2019","2019","1000 US$","134092","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","591","Cashewapple","2020","2020","1000 US$","98207","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2010","2010","1000 US$","3238677","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2011","2011","1000 US$","3555119","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2012","2012","1000 US$","2890746","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2013","2013","1000 US$","2973672","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2014","2014","1000 US$","3062783","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2015","2015","1000 US$","2056097","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2016","2016","1000 US$","1810618","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2017","2017","1000 US$","1921365","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2018","2018","1000 US$","2724283","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2019","2019","1000 US$","2244751","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","125","Cassava","2020","2020","1000 US$","2111988","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2010","2010","1000 US$","29295","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2011","2011","1000 US$","42169","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2012","2012","1000 US$","9978","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2013","2013","1000 US$","4396","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2014","2014","1000 US$","12132","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2015","2015","1000 US$","11051","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2016","2016","1000 US$","6142","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2017","2017","1000 US$","3482","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2018","2018","1000 US$","9592","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2019","2019","1000 US$","18811","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","265","Castor oil seed","2020","2020","1000 US$","18374","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2010","2010","1000 US$","113025","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2011","2011","1000 US$","740684","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2012","2012","1000 US$","615169","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2013","2013","1000 US$","565401","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2014","2014","1000 US$","445228","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2015","2015","1000 US$","398031","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2016","2016","1000 US$","343397","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2017","2017","1000 US$","391961","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2018","2018","1000 US$","593132","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2019","2019","1000 US$","637413","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","661","Cocoa, beans","2020","2020","1000 US$","625370","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2010","2010","1000 US$","1047626","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2011","2011","1000 US$","1349085","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2012","2012","1000 US$","1074014","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2013","2013","1000 US$","960051","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2014","2014","1000 US$","823951","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2015","2015","1000 US$","379322","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2016","2016","1000 US$","418721","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2017","2017","1000 US$","363668","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2018","2018","1000 US$","266315","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2019","2019","1000 US$","237425","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","249","Coconuts","2020","2020","1000 US$","222888","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2010","2010","1000 US$","7187515","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2011","2011","1000 US$","10855381","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2012","2012","1000 US$","9209602","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2013","2013","1000 US$","6897690","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2014","2014","1000 US$","7784780","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2015","2015","1000 US$","5620246","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2016","2016","1000 US$","6757035","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2017","2017","1000 US$","5288440","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2018","2018","1000 US$","6191563","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2019","2019","1000 US$","4475573","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","656","Coffee, green","2020","2020","1000 US$","5286758","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2010","2010","1000 US$","2001484","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2011","2011","1000 US$","4473955","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2012","2012","1000 US$","4750938","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2013","2013","1000 US$","5503883","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2014","2014","1000 US$","5975606","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2015","2015","1000 US$","4479575","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2016","2016","1000 US$","4788988","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2017","2017","1000 US$","6179623","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2018","2018","1000 US$","3841392","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2019","2019","1000 US$","3845721","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1062","Eggs, hen, in shell","2020","2020","1000 US$","3455409","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1091","Eggs, other bird, in shell","2010","2010","1000 US$","34136","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1091","Eggs, other bird, in shell","2011","2011","1000 US$","48100","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1091","Eggs, other bird, in shell","2012","2012","1000 US$","54631","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1091","Eggs, other bird, in shell","2013","2013","1000 US$","72994","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","1091","Eggs, other bird, in shell","2014","2014","1000 US$","88083","Fc","Calculated data"
